ID,customer_id,user_login,user_pass,user_nicename,user_email,user_url,user_registered,display_name,first_name,last_name,user_status,roles,nickname,description,rich_editing,syntax_highlighting,admin_color,use_ssl,show_admin_bar_front,locale,wp_user_level,dismissed_wp_pointers,show_welcome_panel,session_tokens,last_update,billing_first_name,billing_last_name,billing_company,billing_email,billing_phone,billing_address_1,billing_address_2,billing_postcode,billing_city,billing_state,billing_country,shipping_first_name,shipping_last_name,shipping_company,shipping_phone,shipping_address_1,shipping_address_2,shipping_postcode,shipping_city,shipping_state,shipping_country
2,2,Customer1,12345,customer1,cm1@email.com,http://customer1.com,,Customer 1,Customer,1,,customer,Customer1,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Customer2,12345,customer2,cm2@email.com,http://customer2.com,,Customer 2,Customer,2,,customer,Customer2,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Customer3,12345,customer3,cm3@email.com,http://customer3.com,,Customer 3,Customer,3,,customer,Customer3,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Customer4,12346,customer4,cm4@email.com,http://customer4.com,,Customer 4,Customer,4,,customer,Customer4,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Customer5,12347,customer5,cm5@email.com,http://customer5.com,,Customer 5,Customer,5,,customer,Customer5,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Customer6,12348,customer6,cm6@email.com,http://customer6.com,,Customer 6,Customer,6,,customer,Customer6,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Customer7,12349,customer7,cm7@email.com,http://customer7.com,,Customer 7,Customer,7,,customer,Customer7,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Customer8,12350,customer8,cm8@email.com,http://customer8.com,,Customer 8,Customer,8,,customer,Customer8,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,Customer9,12351,customer9,cm9@email.com,http://customer9.com ,,Customer 9,Customer,9,,customer,Customer9,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Customer10,12352,customer10,cm10@email.com,http://customer10.com,,Customer 10,Customer,10,,customer,Customer10,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Customer11,12353,customer11,cm11@email.com,http://customer11.com,,Customer 11,Customer,11,,customer,Customer11,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Customer12,12354,customer12,cm12@email.com,http://customer12.com,,Customer 12,Customer,12,,customer,Customer12,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Customer13,12355,customer13,cm13@email.com,http://customer13.com,,Customer 13,Customer,13,,customer,Customer13,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Customer14,12356,customer14,cm14@email.com,http://customer14.com,,Customer 14,Customer,14,,customer,Customer14,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Customer15,12357,customer15,cm15@email.com,http://customer15.com,,Customer 15,Customer,15,,customer,Customer15,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Customer16,12358,customer16,cm16@email.com,http://customer16.com,,Customer 16,Customer,16,,customer,Customer16,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Customer17,12359,customer17,cm17@email.com,http://customer17.com,,Customer 17,Customer,17,,customer,Customer17,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Customer18,12360,customer18,cm18@email.com,http://customer18.com,,Customer 18,Customer,18,,customer,Customer18,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,Customer19,12361,customer19,cm19@email.com,http://customer19.com,,Customer 19,Customer,19,,customer,Customer19,,true,true,fresh,,true,,0,,,,,,,,,,,,,,,,,,,,,,,,,
